nigp_class_3digit,canonical_description,distinct_5digit,distinct_10digit,row_count,source
530,"WALLETS - WALLET (BILLFOLD), BLACK LEATHER CASE STAMPED WITH CHICAGO POLICE LOGO IN GOLD",1,1,35,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
540,"STAKES, CONST. GRADE STRUCTURAL - 2 IN. X 4 IN. X 36 IN. SINGLE POINT",12,76,284,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
545,"LIFTS, PLATFORMS - ELECTRIC SCISSORS LIFT - 40-FOOT LIFT",1,3,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
550,"POWER EQUIPMENT - OUTDOOR POWER EQUIPMENT, ATTACHMENTS, TOOLS AND SUPPLIES - LABOR TO REPAIR KUBOTA",6,45,290,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
557,"RSIP WARRANTY SERVICES,WINDOWS & DOORS INCLUDING PARTS AND ACCESSORIES - PREVENTATIVE MAINTENANCE - OPERABLE WINDOWS",1,58,2760,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
560,"MATERIAL HANDLING, CONVEYORS -PORTABLE HYDRAULICALLY LIFTED SALT CONVEYOR WITH HOPPER.",6,11,46,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
570,"STEEL, STRUCTURAL - UPCHARGE FOR GRADE 50 STEEL",7,32,160,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
590,"BELT, BUCKLES - MEETING SPEC. NO. 2.2103 GOLD 2 1/2 IN. X 2 1/2 IN.",1,1,17,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
615,"ADHESIVES, GLUE, MUCILAGE - GLUE, ELMERS GLUE ALL, 4 OZ.",2,2,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
630,"PAINT SPRAYERS - PURCHASE OF PAINT SPRAYERS, PRESSURE WASHERS, PARTS, EQUIPMENT, ACCESSORIES & SUPPLIES - SHOP LABOR TO MAINTAIN AND REPAIR GROUP B - GRACO",4,8,69,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
640,"TOWELS, PAPER ROLL - 1 PLY, NON-PERFORATED ROLL TOWEL, EPA CPG COMPLIANT WHITE 8"" X 1000', 6 ROLLS/CS, GP PREFERENCE HIGH CAPACITY # 26100 OR APPROVED EQUAL",2,7,58,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
645,"Offset Paper - Hots or Astrobrights 60 text - Various Colors, 60# Text",1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
658,"PIPE, SEWER, CLAY, VITRIFIED, WITH SMALL BELL, EXTRA STRENGTH - 6 IN., 24 IN. LENGTH",2,40,510,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
659,"CURVES, SEWER, SHORT AND MEDIUM PATTERN, 30 DEGREE AND 45 DEGREE - 6 IN., 30 DEG., MEDIUM",5,55,274,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
665,"LINERS, RECEPTACLE, PLASTIC - 36"" WIDE BY 58"" LONG, BLACK, 3.0 MIL, 55 GALLON, 50/CASE.",4,30,87,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
670,"PIPE, WATER - PUSH-ON JOINT, 8 INCH - CLASS 56",15,134,444,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
675,"RODENTICIDE, MAKI BROMADIOLONE - LARGE RAT SIZE PELLETS, 20 LB/PAIL",2,5,26,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
680,"PRISON EQUIPMENT, CELL BLOCK & ACCESSORIES - PRISONER-TRANSPORT PROVISIONS, AWD POLICE PURSUIT UTILITY VEHICLE",5,31,114,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
685,"SHIPPING CRATES - CRATE MOVING SYSTEM - SET OF FOUR CRATES AND ONE CRATE DOLLY FOR A PERIOD OF TWO WEEKS, INCLUDING DROP OFF AND PICK UP",1,2,7,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
699,TRANSPORTATION CHARGES - MOVING CHARGES FOR HEAVY EQUIPMENT,1,1,37,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
700,"BINDING EQUIPMENT AND SUPPLIES - COVERS REGENCY LETTER, 11 X 8.5 UNPUNCHED (BLACK) 100 SETS/BOX",1,26,56,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
720,"PARTS, BELL AND GOSSETT PUMPS - IMPELLER 189132 PLASTIC",2,7,349,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
725,"TELEPHONE EQUIPMENT, PRODUCTS AND TECHNICAL SUPPORT SERVICES - FIELD TECHNICAL SUPPORT SERVICE - STRAIGHT TIME HOURLY RATE",2,10,153,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
735,"WIPERS, T-SHIRT, KNIT - JANITORIAL SUPPLIES, WIPING RAGS, WIPERS, T-SHIRT, KNIT - NEW, WHITE",1,4,39,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
745,"HOT MIX ASPHALT - HOT MIX ASPHALT SURFACE COURSE, IL-9.5LH, MIX ""C"", N30 (CDOT) (DELIVERED)",5,84,1584,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
